batsman,bowler,ball,run,avg,runs,balls
AC Gilchrist,DR Tuffey,1,0,1.33990147783,272,203
AC Gilchrist,DR Tuffey,2,0,1.33990147783,272,203
MJ Clarke,DR Tuffey,3,0,0.995918367347,488,490
MJ Clarke,DR Tuffey,4,1,0.995918367347,488,490
AC Gilchrist,DR Tuffey,5,1,1.33990147783,272,203
MJ Clarke,DR Tuffey,6,6,0.995918367347,488,490
MJ Clarke,DR Tuffey,7,0,0.995918367347,488,490
A Symonds,KD Mills,1,0,1.65196078431,337,204
A Symonds,KD Mills,2,4,1.65196078431,337,204
A Symonds,KD Mills,3,6,1.65196078431,337,204
A Symonds,KD Mills,4,1,1.65196078431,337,204
AC Gilchrist,KD Mills,5,0,1.33990147783,272,203
RT Ponting,KD Mills,6,1,1.28938906752,401,311
RT Ponting,DR Tuffey,1,0,1.28938906752,401,311
RT Ponting,DR Tuffey,2,0,1.28938906752,401,311
RT Ponting,DR Tuffey,3,0,1.28938906752,401,311
A Symonds,DR Tuffey,4,2,1.65196078431,337,204
A Symonds,DR Tuffey,5,0,1.65196078431,337,204
A Symonds,DR Tuffey,6,1,1.65196078431,337,204
A Symonds,KD Mills,1,4,1.65196078431,337,204
A Symonds,KD Mills,2,0,1.65196078431,337,204
A Symonds,KD Mills,3,6,1.65196078431,337,204
A Symonds,KD Mills,4,4,1.65196078431,337,204
A Symonds,KD Mills,5,4,1.65196078431,337,204
A Symonds,KD Mills,6,0,1.65196078431,337,204
A Symonds,KD Mills,7,0,1.65196078431,337,204
A Symonds,KD Mills,8,0,1.65196078431,337,204
RT Ponting,DR Tuffey,1,4,1.28938906752,401,311
RT Ponting,DR Tuffey,2,1,1.28938906752,401,311
DR Martyn,DR Tuffey,3,0,1.55844155844,120,77
DR Martyn,DR Tuffey,4,0,1.55844155844,120,77
DR Martyn,DR Tuffey,5,2,1.55844155844,120,77
DR Martyn,DR Tuffey,6,1,1.55844155844,120,77
DR Martyn,KD Mills,1,0,1.55844155844,120,77
SM Katich,KD Mills,2,1,1.4375,69,48
RT Ponting,KD Mills,3,1,1.28938906752,401,311
SM Katich,KD Mills,4,1,1.4375,69,48
RT Ponting,KD Mills,5,0,1.28938906752,401,311
RT Ponting,KD Mills,6,1,1.28938906752,401,311
RT Ponting,CL Cairns,1,1,1.28938906752,401,311
SM Katich,CL Cairns,2,1,1.4375,69,48
RT Ponting,CL Cairns,3,1,1.28938906752,401,311
SM Katich,CL Cairns,4,1,1.4375,69,48
RT Ponting,CL Cairns,5,1,1.28938906752,401,311
SM Katich,CL Cairns,6,1,1.4375,69,48
SM Katich,KD Mills,1,0,1.4375,69,48
SM Katich,KD Mills,2,1,1.4375,69,48
RT Ponting,KD Mills,3,4,1.28938906752,401,311
RT Ponting,KD Mills,4,1,1.28938906752,401,311
SM Katich,KD Mills,5,1,1.4375,69,48
RT Ponting,KD Mills,6,1,1.28938906752,401,311
