Aamir Kaleem
AA Obanda
A Bagai
AB Agarkar
A Balbirnie
AB Barath
AB de Villiers
AB Dinda
Abdul Razzaq
Abdul Shakoor
Abdur Razzak
Abdur Rehman
A Bhattarai
AC Botha
AC Evans
AC Gilchrist
ACL Richards
AC Voges
AD Hales
Adil Bhatti
AD Mascarenhas
AD Mathews
AD Poynter
AD Russell
ADS Fletcher
AF Buurman
A Flintoff
AF Milne
Afsar Zazai
Aftab Ahmed
Aftab Alam
AG Cremer
AG Prince
Ahmed Raza
Ahmed Shehzad
Aizaz Cheema
Aizaz Khan
AJ Finch
AJ Hall
AJ McKay
AJ Redmond
AJ Strauss
A Karn
A Khan
AK Mandal
AK Perera
Al-Amin Hossain
AL Dodson
Alok Kapali
AM Blignaut
AM Ellis
AM Guruge
Amir Ali
Amjad Ali
Amjad Javed
AM Phangiso
AM Rahane
Anamul Haque
Anas Khan
AN Cook
A Nehra
A Nel
AN Kervezee
AN Petersen
Anshuman Rath
Anwar Ali
AO Suji
AP Devcich
AR Adams
Arafat Sunny
AR Cusack
AR Nurse
AR Patel
AR White
Asad Shafiq
AS Dean
Asghar Stanikzai
A Shahzad
AS Hansra
A Symonds
AT Rayudu
AU Rashid
A Vala
Awais Zia
Babar Hayat
BA Parchment
BA Stokes
BAW Mendis
B Bhandari
BB McCullum
BCJ Cutting
BE Hendricks
B Fernando
Bilawal Bhatti
BJ Haddin
BJ Hodge
BJ Rohrer
BJ Watling
B Kumar
B Lee
BMAJ Mendis
BN Cooper
BR Dunk
B Regmi
BRM Taylor
BV Vitori
BW Hilfenhaus
B Zuiderent
CA Ingram
CAK Walton
CA Lynn
CA Young
CB Mpofu
CD Barnwell
CD de Lange
C de Grandhomme
CD McMillan
CD Wallace
CG Williams
CH Gayle
CH Morris
CJA Amini
CJ Anderson
CJ Boyce
CJ Chibhabha
CJ Ferguson
CJ Jordan
CJ McKay
CJO Smith
CK Coventry
C Kieswetter
CK Kapugedera
CK Langeveldt
CL Cairns
CL White
C Munro
CMW Read
CM Wright
CO Obuya
CP Schofield
CR Brathwaite
CRD Fernando
CR Ervine
CR Foggo
CR Woakes
CS Baugh
CS MacLeod
CS Martin
CU Jayasinghe
C Zhuwao
DAJ Bracewell
DA Miller
DA Warner
Dawlat Zadran
D Bishoo
DBL Powell
DE Bernard
DE Bollinger
DF Watts
D Ganga
DG Brownlie
Dhiman Ghosh
DI Allan
DJ Bravo
DJG Sammy
DJ Hussey
DJ Reekers
DJ Willey
DL Hemp
DL Maddy
